"Kernel Name","kernel_cutlass_kernel_flash_attncuteflash_fwd_sm100_fp4FlashAttentionForwardSm100_object_at__tensor0000o11101213_tensor0000o11101213_tensor0000odiv1610111213_tensor0000o11101213_None_None_0",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7a6e0b9a1710","      S2UR UR4, SR_CgaCtaId","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1720","      UMOV UR5, 0x400","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1730","      UMOV UR6, 0x1","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1740","      UIADD3 UR6, -UR6, 0x100000, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1750","      USHF.L.U32 UR7, UR6, 0xb, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1760","      USHF.L.U32 UR6, UR6, 0x1, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1770","      ULEA UR4, UR4, UR5, 0x18","1","1","1","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"0x7a6e0b9a1780","      FENCE.VIEW.ASYNC.S","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1790","      SYNCS.EXCH.64 URZ, [UR4], UR6","1","0","1","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a17a0","      SYNCS.EXCH.64 URZ, [UR4+0x10], UR6","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a17b0","      SYNCS.EXCH.64 URZ, [UR4+0x8], UR6","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a17c0","      SYNCS.EXCH.64 URZ, [UR4+0x18], UR6","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a17d0","      BRA 0x7a6e0b9a20e0","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a17e0","      LDCU.64 UR4, c[0x0][0x348]","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a17f0","      S2UR UR6, SR_CgaCtaId","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1800","      UMOV UR7, 0x400","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1810","      UMOV UR9, 0x1","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1820","      UIADD3 UR18, UP5, UR4, 0x40, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1830","      UIADD3 UR16, UP4, UR4, 0xc0, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1840","      UIADD3 UR14, UP3, UR4, 0x140, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1850","      UIADD3 UR12, UP2, UR4, 0x1c0, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1860","      UIADD3 UR10, UP1, UR4, 0x280, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1870","      UIADD3.X UR19, URZ, UR5, URZ, UP5, !UPT","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a1880","      UIADD3 UR8, UP0, UR4, 0x340, URZ","1","1","1","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7a6e0b9a1890","      UIADD3.X UR17, URZ, UR5, URZ, UP4, !UPT","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a18a0","      ULEA UR4, UR6, UR7, 0x18","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a18b0","      UIADD3 UR6, -UR9, 0x100000, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a18c0","      USHF.L.U32 UR7, UR6, 0xb, URZ","1","0","1","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7a6e0b9a18d0","      USHF.L.U32 UR6, UR6, 0x1, URZ","0","0","0","148","4736","4736","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
